Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-08-30,365.4943775923383,371.61509683431524,360.24804681350093,368.6421813964844,1000166,0.0,0
2006-08-31,371.6150532440957,373.8010241455316,363.74555799892664,365.18829345703125,1244940,0.0,0
2006-09-01,365.0572309888084,368.0301468145076,363.04614793489407,364.3139953613281,586370,0.0,0
2006-09-04,368.9919986047461,372.7081502494621,365.5818883146748,370.5658874511719,615389,0.0,0
2006-09-05,370.740684563884,375.89957082828334,369.03561649656626,370.7843933105469,746608,0.0,0
2006-09-06,371.17787876737907,377.64834764226396,358.49924686601986,370.7843933105469,2026467,0.0,0
2006-09-07,368.2924231768582,371.09045018629473,363.8330367769421,368.2486877441406,950727,0.0,0
2006-09-08,368.11756412871216,373.7136452774354,366.49994004213397,370.25982666015625,962479,0.0,0
2006-09-11,369.8662727819288,370.34717570169454,338.51944503555353,344.68389892578125,1008891,0.0,0
2006-09-12,345.3834551009074,348.4438148296496,335.98377879119914,346.6950378417969,1590042,0.0,0
2006-09-13,349.66791180492197,356.3132689053996,349.66791180492197,352.5096740722656,931116,0.0,0
2006-09-14,357.624867917099,360.59778324264704,352.8157315514656,355.9197998046875,1005368,0.0,0
2006-09-15,356.75055062137295,359.7672019804633,352.6409135067024,357.8435363769531,748958,0.0,0
2006-09-18,358.58673436446793,363.7019125001697,355.13288906591026,361.20989990234375,603875,0.0,0
2006-09-19,362.8713224881562,364.44521152646246,342.8478259334863,348.2253112792969,1093714,0.0,0
2006-09-20,341.4486869152681,356.7067759158987,338.86923033530695,354.1273193359375,563509,0.0,0
2006-09-21,360.2480503343896,367.1557139238606,355.96355215997477,357.14398193359375,666605,0.0,0
2006-09-22,357.6248272080114,359.19871552937326,349.79904097561746,351.8101501464844,427928,0.0,0
2006-09-25,349.7553810623837,355.6137943688658,345.4708829812131,351.46044921875,661401,0.0,0
2006-09-26,351.5041806233471,354.4770962171484,347.6568765205325,351.28558349609375,420707,0.0,0
2006-09-27,354.7394318633685,358.4555830589715,345.6457699432229,347.74432373046875,446507,0.0,0
2006-09-28,348.00666878904093,349.2745429545495,340.3120596503091,342.14825439453125,542504,0.0,0
2006-09-29,345.38350961365114,352.20373026904144,342.1919964439393,347.831787109375,477287,0.0,0
2006-10-03,349.755431326315,354.9143186015338,348.00665416968343,349.0996398925781,415400,0.0,0
